id	gene	ortho_gene	score
479898	AT1G02560.1	GRMZM2G121456_T03	1
479898	AT1G02560.1	GRMZM2G121456_T01	1
475668	AT1G02640.1	GRMZM2G146192_T02	1
475668	AT1G02640.1	GRMZM2G146192_T01	0.585
478307	AT1G02660.1	GRMZM2G416817_T02	1
483638	AT1G02680.1	GRMZM2G081012_T01	1
475042	AT1G02730.1	GRMZM2G015886_T01	1
480478	AT1G02780.1	GRMZM2G116135_T01	1
480478	AT1G02780.1	GRMZM2G116135_T02	0.759
480478	AT1G02780.1	GRMZM2G146358_T01	0.534
480478	AT1G02780.1	GRMZM2G450937_T03	0.5
480478	AT1G02780.1	GRMZM2G450937_T02	0.5
480478	AT1G02780.1	GRMZM2G450937_T04	0.5
480478	AT1G02780.1	GRMZM2G146358_T04	0.328
476486	AT1G02800.1	GRMZM2G331566_T02	1
477457	AT1G02810.1	GRMZM2G128682_T01	1
483671	AT1G02816.1	GRMZM2G023520_T01	1
483671	AT1G02816.1	GRMZM2G117439_T01	0.603
480425	AT1G02840.1	GRMZM2G170365_T03	0.965
480425	AT1G02840.1	GRMZM2G170365_T01	1
480425	AT1G02840.1	GRMZM2G170365_T02	0.652
480425	AT1G02840.1	GRMZM2G170365_T04	0.642
477957	AT1G02850.1	GRMZM2G069024_T06	1
477957	AT1G02850.1	GRMZM2G069024_T01	0.516
482975	AT1G02870.1	GRMZM2G055724_T01	1
475443	AT1G02890.1	GRMZM2G126453_T01	1
484432	AT1G02900.1	GRMZM2G153206_T01	1
484432	AT1G02900.1	GRMZM2G301663_T01	0.647
478157	AT1G02910.1	GRMZM2G383154_T01	1
479184	AT1G02970.1	GRMZM2G374088_T05	1
478657	AT1G03000.1	GRMZM2G445617_T02	1
478657	AT1G03000.1	GRMZM2G445617_T01	1
480795	AT1G03030.1	GRMZM2G035338_T02	1
480795	AT1G03030.1	GRMZM2G035338_T01	0.768
481825	AT1G03040.1	GRMZM2G162382_T01	0.402
481825	AT1G03040.1	GRMZM2G004356_T01	1
478506	AT1G03050.1	GRMZM2G104363_T01	1
474952	AT1G03060.1	GRMZM2G150183_T01	1
480249	AT1G03070.1	GRMZM2G128617_T01	1
480249	AT1G03070.1	GRMZM2G014672_T01	0.9
479087	AT1G03080.1	GRMZM2G092947_T01	1
479087	AT1G03080.1	GRMZM2G701688_T01	0.571
479087	AT1G03080.1	GRMZM2G355771_T01	0.486
475688	AT1G03090.1	GRMZM2G019926_T02	1
475688	AT1G03090.1	GRMZM2G019926_T03	0.758
476067	AT1G03100.1	GRMZM2G168240_T01	1
479467	AT1G03110.1	GRMZM2G131998_T01	1
479467	AT1G03110.1	GRMZM2G131998_T02	0.775
481540	AT1G03130.1	GRMZM2G024150_T01	1
481540	AT1G03130.1	GRMZM2G013342_T01	0.476
480914	AT1G03150.1	GRMZM2G123159_T03	1
480914	AT1G03150.1	GRMZM2G123159_T01	1
476855	AT1G03160.1	GRMZM2G319109_T01	1
475306	AT1G03190.1	GRMZM2G097605_T01	1
481724	AT1G03210.1	GRMZM2G050325_T01	1
481724	AT1G03210.1	GRMZM2G050325_T02	0.746
481724	AT1G03210.1	GRMZM2G050325_T03	0.545
482140	AT1G03250.1	GRMZM2G099052_T01	1
482140	AT1G03250.1	GRMZM2G099052_T03	0.653
482140	AT1G03250.1	GRMZM2G099052_T02	0.322
479987	AT1G03260.1	GRMZM2G148229_T01	1
479987	AT1G03260.1	GRMZM2G153877_T02	0.777
478551	AT1G03280.1	GRMZM2G064390_T01	1
481810	AT1G03290.1	GRMZM2G025074_T01	1
483520	AT1G03300.1	GRMZM2G048274_T01	1
483520	AT1G03300.1	GRMZM2G448692_T02	0.287
483520	AT1G03300.1	GRMZM2G448692_T01	0.287
476893	AT1G03310.1	GRMZM2G090905_T01	1
483260	AT1G03330.1	GRMZM2G063322_T01	1
483260	AT1G03330.1	GRMZM2G092535_T01	0.889
481661	AT1G03350.1	GRMZM2G111672_T01	1
479702	AT1G03360.1	GRMZM2G009413_T01	1
475358	AT1G03370.1	GRMZM2G005195_T02	1
475358	AT1G03370.1	GRMZM2G027665_T01	0.787
475358	AT1G03370.1	AC188756.2_FGT001	0.674
475358	AT1G03370.1	GRMZM2G005195_T01	0.544
476072	AT1G03380.1	GRMZM2G390562_T01	1
476072	AT1G03380.1	GRMZM2G104732_T03	0.491
476072	AT1G03380.1	GRMZM2G104732_T02	0.491
476072	AT1G03380.1	GRMZM2G104732_T01	0.491
480266	AT1G03400.1	GRMZM2G119116_T02	1
480266	AT1G03400.1	GRMZM2G119116_T01	1
480266	AT1G03410.1	GRMZM2G119116_T02	1
480266	AT1G03410.1	GRMZM2G119116_T01	1
483935	AT1G03430.1	GRMZM2G451604_T01	1
483935	AT1G03430.1	GRMZM2G014154_T04	1
483935	AT1G03430.1	GRMZM2G451604_T03	0.498
483935	AT1G03430.1	GRMZM2G016439_T01	0.408
483935	AT1G03430.1	GRMZM2G016439_T02	0.378
483935	AT1G03430.1	GRMZM2G451604_T02	0.3
478666	AT1G03440.1	GRMZM2G176651_T01	1
478666	AT1G03440.1	GRMZM2G176651_T02	1
478666	AT1G03440.1	GRMZM2G099981_T02	0.865
478666	AT1G03440.1	GRMZM2G099981_T01	0.865
478666	AT1G03440.1	GRMZM2G099981_T03	0.865
478340	AT1G03457.1	GRMZM2G005459_T01	1
478340	AT1G03457.1	GRMZM2G177001_T01	0.429
478340	AT1G03457.1	GRMZM2G177001_T02	0.264
484021	AT1G03470.1	GRMZM2G131554_T01	1
480070	AT1G03510.1	GRMZM2G084176_T01	1
481848	AT1G03530.1	GRMZM2G015100_T01	1
477340	AT1G03560.1	GRMZM2G106384_T01	1
478722	AT1G03590.1	GRMZM2G107565_T01	1
478722	AT1G03590.1	GRMZM2G107565_T02	0.636
483350	AT1G03600.1	GRMZM2G056424_T01	1
483350	AT1G03600.1	GRMZM2G005984_T01	0.605
481534	AT1G03610.1	GRMZM2G057451_T01	1
481534	AT1G03610.1	GRMZM2G020098_T01	0.917
481534	AT1G03610.1	GRMZM2G020098_T02	0.67
481534	AT1G03610.1	GRMZM2G057451_T02	0.525
481534	AT1G03610.1	GRMZM2G020098_T03	0.468
483713	AT1G03680.1	GRMZM2G181258_T01	1
483645	AT1G03730.1	GRMZM2G104638_T01	1
483645	AT1G03730.1	GRMZM2G091235_T01	0.769
475753	AT1G03750.1	GRMZM2G146041_T01	1
475753	AT1G03750.1	GRMZM2G146041_T02	0.636
475753	AT1G03750.1	GRMZM2G146041_T03	0.295
481095	AT1G03770.1	GRMZM2G123791_T01	1
477137	AT1G03780.1	GRMZM2G154904_T02	1
477137	AT1G03780.1	GRMZM2G154904_T01	0.805
477137	AT1G03780.1	GRMZM2G154904_T03	0.426
485142	AT1G03820.1	AC210193.4_FGT002	1
479236	AT1G03860.1	AC217358.3_FGT005	1
480066	AT1G03900.1	GRMZM2G158277_T02	1
480066	AT1G03900.1	GRMZM2G158277_T01	1
480066	AT1G03900.1	GRMZM2G158277_T03	1
479243	AT1G03905.1	GRMZM2G075336_T02	1
479243	AT1G03905.1	GRMZM2G075336_T01	0.323
476283	AT1G03910.1	GRMZM2G072156_T01	1
480981	AT1G03950.1	GRMZM2G004996_T02	1
484421	AT1G03970.1	GRMZM2G129247_T03	1
484421	AT1G03970.1	GRMZM2G129247_T02	0.873
484421	AT1G03970.1	GRMZM2G132868_T01	0.762
484421	AT1G03970.1	GRMZM2G129247_T01	0.708
484421	AT1G03970.1	AC210949.4_FGT003	0.38
484421	AT1G03970.1	GRMZM2G000703_T01	0.313
477836	AT1G03980.1	GRMZM2G091228_T01	1
484933	AT1G04000.1	GRMZM2G352023_T01	1
484933	AT1G04000.1	GRMZM2G118766_T01	1
484933	AT1G04000.1	GRMZM2G358537_T01	1
484933	AT1G04000.1	GRMZM2G082670_T01	0.75
477698	AT1G04010.1	GRMZM2G376595_T01	1
479676	AT1G04020.1	GRMZM2G052688_T01	1
483938	AT1G04030.1	GRMZM2G172758_T01	1
483938	AT1G04030.1	GRMZM2G150408_T03	0.766
483938	AT1G04030.1	GRMZM2G150408_T01	0.764
483938	AT1G04030.1	GRMZM2G150408_T02	0.764
484496	AT1G04070.1	GRMZM2G318794_T01	1
476495	AT1G04080.1	GRMZM2G178294_T01	1
475769	AT1G04110.1	GRMZM2G107686_T01	1
479712	AT1G04130.1	GRMZM2G146000_T01	1
476846	AT1G04140.1	GRMZM2G007229_T01	1
476846	AT1G04140.1	GRMZM2G353548_T05	0.795
476846	AT1G04140.1	GRMZM2G353548_T02	0.795
476846	AT1G04140.1	GRMZM2G353548_T01	0.795
476846	AT1G04140.1	GRMZM2G353548_T04	0.721
476846	AT1G04140.1	GRMZM2G353548_T06	0.489
475995	AT1G04170.1	GRMZM2G117900_T01	1
475995	AT1G04170.1	GRMZM2G117900_T02	1
478842	AT1G04190.1	GRMZM2G115615_T01	1
476000	AT1G04200.1	GRMZM2G078576_T01	1
476000	AT1G04200.1	GRMZM2G078576_T04	0.878
476000	AT1G04200.1	GRMZM2G079389_T01	0.819
476000	AT1G04200.1	GRMZM2G078576_T03	0.505
483438	AT1G04240.1	GRMZM2G167794_T01	1
483438	AT1G04240.1	GRMZM2G115357_T01	1
483438	AT1G04240.1	GRMZM2G115357_T02	0.839
483438	AT1G04240.1	GRMZM2G079957_T02	0.408
483438	AT1G04240.1	GRMZM2G079957_T01	0.259
481768	AT1G04270.1	GRMZM2G156110_T01	1
481768	AT1G04270.1	GRMZM2G080222_T01	1
481768	AT1G04270.1	GRMZM2G111172_T03	1
481768	AT1G04270.1	GRMZM2G102075_T01	0.946
483956	AT1G04290.1	GRMZM2G009888_T01	1
483956	AT1G04290.1	GRMZM2G003720_T01	0.675
483956	AT1G04290.1	GRMZM2G009888_T02	0.27
476202	AT1G04300.1	GRMZM2G145300_T01	1
476202	AT1G04300.1	GRMZM2G012156_T01	0.424
480266	AT1G04350.1	GRMZM2G119116_T02	1
480266	AT1G04350.1	GRMZM2G119116_T01	1
476881	AT1G04400.1	GRMZM2G172152_T01	1
476881	AT1G04400.1	GRMZM2G172152_T03	1
476881	AT1G04400.1	GRMZM2G172152_T02	0.504
477436	AT1G04410.1	GRMZM2G415359_T02	1
478060	AT1G04420.1	GRMZM2G077214_T01	1
475692	AT1G04430.1	GRMZM2G067764_T01	1
475692	AT1G04430.1	GRMZM2G067764_T02	1
475692	AT1G04430.1	GRMZM2G107629_T04	0.817
475692	AT1G04430.1	GRMZM2G107629_T01	0.817
475692	AT1G04430.1	GRMZM2G107629_T02	0.817
475692	AT1G04430.1	GRMZM2G107629_T03	0.817
481611	AT1G04480.1	GRMZM2G150058_T01	1
481611	AT1G04480.1	GRMZM2G102230_T01	1
481611	AT1G04480.1	GRMZM2G171181_T01	1
481611	AT1G04480.1	GRMZM2G078396_T01	1
476407	AT1G04510.1	GRMZM2G037698_T02	1
476407	AT1G04510.1	GRMZM2G037698_T01	1
481757	AT1G04520.1	GRMZM2G066860_T02	1
481757	AT1G04520.1	GRMZM2G066860_T01	1
481757	AT1G04520.1	GRMZM2G066860_T03	0.515
484232	AT1G04530.1	GRMZM2G702991_T01	1
483371	AT1G04550.1	GRMZM2G142768_T02	1
483371	AT1G04550.1	GRMZM2G142768_T01	1
482121	AT1G04590.1	GRMZM2G037064_T01	1
476597	AT1G04620.1	GRMZM2G056686_T05	1
476597	AT1G04620.1	GRMZM2G056686_T07	0.879
481446	AT1G04640.1	GRMZM2G085483_T01	1
478023	AT1G04650.1	GRMZM2G415343_T01	1
476862	AT1G04680.1	GRMZM2G131912_T01	1
477678	AT1G04690.1	GRMZM2G142661_T01	1
476522	AT1G04710.1	GRMZM2G062029_T03	1
476198	AT1G04730.1	GRMZM2G093217_T01	1
479772	AT1G04760.1	GRMZM2G008919_T02	1
479772	AT1G04760.1	GRMZM2G096486_T01	0.65
479772	AT1G04760.1	GRMZM2G054193_T01	0.525
475965	AT1G04780.1	GRMZM2G140394_T02	1
475965	AT1G04780.1	GRMZM2G140394_T01	1
475965	AT1G04780.1	GRMZM2G140394_T03	1
475965	AT1G04780.1	GRMZM2G050885_T02	0.804
475965	AT1G04780.1	GRMZM2G050885_T01	0.804
483179	AT1G04790.1	GRMZM2G157407_T01	1
475081	AT1G04810.1	GRMZM2G156145_T01	1
475081	AT1G04810.1	GRMZM2G102000_T01	0.826
475832	AT1G04820.1	GRMZM2G152466_T02	1
475832	AT1G04820.1	GRMZM2G153292_T02	1
475832	AT1G04820.1	GRMZM2G153292_T04	1
475832	AT1G04820.1	GRMZM2G153292_T03	1
475832	AT1G04820.1	GRMZM2G152466_T01	1
475832	AT1G04820.1	GRMZM2G153292_T01	1
475832	AT1G04820.1	GRMZM2G153292_T07	0.909
477947	AT1G04830.1	GRMZM2G022308_T01	1
477947	AT1G04830.1	GRMZM2G022308_T02	0.252
477395	AT1G04850.1	GRMZM2G012690_T01	1
477395	AT1G04850.1	GRMZM2G028766_T02	0.746
477395	AT1G04850.1	GRMZM2G028766_T01	0.746
480596	AT1G04860.1	GRMZM2G014917_T01	1
481123	AT1G04870.1	GRMZM2G438429_T01	1
481123	AT1G04870.1	GRMZM2G438429_T02	0.685
481198	AT1G04880.1	GRMZM2G024976_T01	1
477750	AT1G04900.1	GRMZM2G101217_T01	1
477750	AT1G04900.1	GRMZM2G101217_T08	0.909
476691	AT1G04910.1	GRMZM2G050649_T02	1
476691	AT1G04910.1	GRMZM2G050649_T05	0.376
476691	AT1G04910.1	GRMZM2G050649_T04	0.376
476691	AT1G04910.1	GRMZM2G050649_T01	0.376
475120	AT1G04920.1	GRMZM2G013166_T03	1
475120	AT1G04920.1	GRMZM2G140107_T01	0.84
484521	AT1G04930.1	GRMZM2G103113_T01	1
481272	AT1G04945.1	GRMZM2G171478_T01	1
477194	AT1G04950.1	GRMZM2G013908_T01	1
477194	AT1G04950.1	GRMZM2G013908_T03	0.458
482699	AT1G04960.1	GRMZM2G161302_T01	1
478949	AT1G04970.1	GRMZM2G352607_T02	1
483656	AT1G04985.1	GRMZM2G307665_T02	1
479407	AT1G05010.1	GRMZM2G007249_T02	1
479407	AT1G05010.1	GRMZM2G007249_T01	0.668
476960	AT1G05030.1	GRMZM2G450488_T01	1
477418	AT1G05055.1	GRMZM2G173309_T01	1
482064	AT1G05060.1	GRMZM2G054028_T01	1
482064	AT1G05060.1	GRMZM2G054028_T02	0.711
483382	AT1G05070.1	GRMZM2G163296_T01	1
476066	AT1G05120.1	GRMZM2G021233_T02	1
476066	AT1G05120.1	GRMZM2G021233_T01	0.835
479204	AT1G05140.1	GRMZM2G062470_T01	1
479204	AT1G05140.1	GRMZM2G152419_T01	0.765
475459	AT1G05150.1	GRMZM2G438722_T02	1
475459	AT1G05150.1	GRMZM2G438722_T04	1
475459	AT1G05150.1	GRMZM2G438722_T01	1
475459	AT1G05150.1	GRMZM2G151564_T01	0.838
477580	AT1G05160.1	GRMZM2G089803_T01	1
477580	AT1G05160.1	GRMZM2G093195_T01	0.438
477432	AT1G05170.1	GRMZM2G080231_T01	1
477432	AT1G05170.1	GRMZM2G132866_T01	1
477432	AT1G05170.1	GRMZM2G080231_T04	0.553
477432	AT1G05170.1	GRMZM2G080231_T03	0.553
477432	AT1G05170.1	GRMZM2G007185_T01	0.282
476555	AT1G05180.1	GRMZM2G002765_T02	1
476555	AT1G05180.1	GRMZM2G002765_T03	0.929
476555	AT1G05180.1	GRMZM2G061662_T01	0.813
476555	AT1G05180.1	GRMZM2G061662_T02	0.742
481149	AT1G05190.1	GRMZM2G170870_T01	1
481149	AT1G05190.1	GRMZM2G086788_T01	0.845
475499	AT1G05200.1	GRMZM2G125495_T01	1
483735	AT1G05210.1	GRMZM2G151651_T01	1
483735	AT1G05210.1	GRMZM2G151651_T03	1
483735	AT1G05210.1	GRMZM2G151651_T04	0.403
483735	AT1G05210.1	GRMZM2G151651_T02	0.369
480137	AT1G05260.1	GRMZM2G085967_T01	1
480137	AT1G05260.1	GRMZM2G085967_T04	1
480137	AT1G05260.1	GRMZM2G085967_T02	0.94
480137	AT1G05260.1	GRMZM2G085967_T03	0.512
479956	AT1G05270.1	GRMZM2G089962_T01	1
480567	AT1G05300.1	GRMZM2G093276_T01	1
480043	AT1G05350.1	GRMZM2G360589_T01	1
478146	AT1G05360.1	GRMZM2G133756_T01	1
479224	AT1G05380.1	GRMZM2G412492_T01	1
483405	AT1G05385.1	GRMZM2G087435_T01	1
480609	AT1G05410.1	GRMZM2G472171_T01	1
480609	AT1G05410.1	GRMZM2G472171_T02	1
480609	AT1G05410.1	GRMZM2G472171_T03	0.386
483790	AT1G05440.1	GRMZM2G171248_T01	1
475614	AT1G05460.1	GRMZM2G115633_T02	1
475614	AT1G05460.1	GRMZM2G453111_T01	0.671
475614	AT1G05460.1	GRMZM2G453111_T02	0.45
477368	AT1G05490.1	GRMZM2G154946_T01	1
476063	AT1G05500.1	GRMZM2G071163_T01	1
475356	AT1G05520.1	GRMZM2G045987_T01	1
485012	AT1G05540.1	GRMZM2G066163_T01	1
485012	AT1G05540.1	GRMZM2G128731_T01	1
485012	AT1G05540.1	GRMZM2G138265_T01	1
485012	AT1G05540.1	GRMZM2G124079_T01	0.887
480442	AT1G05560.1	GRMZM2G457929_T01	1
480442	AT1G05560.1	GRMZM2G363554_T01	0.707
474951	AT1G05570.1	GRMZM2G430680_T02	1
477177	AT1G05590.1	GRMZM2G134251_T01	1
480831	AT1G05600.1	GRMZM2G170941_T01	1
478925	AT1G05620.1	GRMZM2G029845_T01	1
478925	AT1G05620.1	GRMZM2G029845_T02	1
478925	AT1G05620.1	GRMZM2G134149_T02	0.907
478925	AT1G05620.1	GRMZM2G134149_T01	0.907
475260	AT1G05630.1	GRMZM2G422045_T01	1
475260	AT1G05630.1	GRMZM2G423567_T01	0.887
475260	AT1G05630.1	GRMZM2G065225_T01	0.282
478083	AT1G05670.1	GRMZM2G168679_T01	1
484030	AT1G05710.1	GRMZM2G089596_T02	1
484030	AT1G05710.1	GRMZM2G089596_T05	1
484030	AT1G05710.1	GRMZM2G089596_T01	1
484030	AT1G05710.1	GRMZM2G005939_T02	0.655
484030	AT1G05710.1	GRMZM2G005939_T01	0.655
484030	AT1G05710.1	GRMZM2G005939_T06	0.535
484030	AT1G05710.1	GRMZM2G089596_T03	0.415
484030	AT1G05710.1	GRMZM2G089596_T04	0.415
484030	AT1G05710.1	GRMZM2G089596_T06	0.415
484030	AT1G05710.1	GRMZM2G005939_T05	0.285
484030	AT1G05710.1	GRMZM2G005939_T03	0.285
482613	AT1G05720.1	GRMZM2G109429_T02	1
482613	AT1G05720.1	GRMZM2G109429_T01	0.588
479291	AT1G05750.1	GRMZM2G158839_T01	1
477767	AT1G05790.1	GRMZM2G176542_T02	1
