GO Information,,,FDR,
  GO:0016020  ,C,membrane,---,4.6E-44
  GO:0031975  ,C,envelope,---,2.8E-32
  GO:0031967  ,C,organelle envelope,---,2.8E-32
  GO:0012505  ,C,endomembrane system,---,3.4E-28
  GO:0043232  ,C,intracellular non-membrane-bounded organelle,---,7.6E-28
  GO:0043228  ,C,non-membrane-bounded organelle,---,7.6E-28
  GO:0005773  ,C,vacuole,---,6.1E-27
  GO:0031974  ,C,membrane-enclosed lumen,---,5.2E-25
  GO:0043233  ,C,organelle lumen,---,5.2E-25
  GO:0070013  ,C,intracellular organelle lumen,---,5.2E-25
  GO:0044428  ,C,nuclear part,---,6.7E-25
  GO:0005886  ,C,plasma membrane,---,2E-22
  GO:0009579  ,C,thylakoid,---,2.5E-22
  GO:0031981  ,C,nuclear lumen,---,1.1E-20
  GO:0005634  ,C,nucleus,---,5.8E-19
  GO:0005794  ,C,Golgi apparatus,---,1.7E-17
  GO:0005783  ,C,endoplasmic reticulum,---,2.3E-13
  GO:0005768  ,C,endosome,---,2.7E-11
  GO:0005730  ,C,nucleolus,---,1.2E-10
  GO:0030529  ,C,intracellular ribonucleoprotein complex,---,2.6E-10
  GO:0005654  ,C,nucleoplasm,---,3.3E-09
  GO:0005840  ,C,ribosome,---,0.000000049
  GO:0005856  ,C,cytoskeleton,---,0.00000025
  GO:0005777  ,C,peroxisome,---,0.00015
  GO:0042579  ,C,microbody,---,0.00015
  GO:0005635  ,C,nuclear envelope,---,0.00047
  GO:0030312  ,C,external encapsulating structure,---,0.007
  GO:0005618  ,C,cell wall,---,0.007
